KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,　人口総数,　人口総数　男,　人口総数　女,　０～１４歳人口総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　２０歳以上人口総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口総数,　７５歳以上人口　男,　７５歳以上人口　女,　外国人人口総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯の一般世帯数,　２人世帯の一般世帯数,　３人世帯の一般世帯数,　４人世帯の一般世帯数,　５人世帯の一般世帯数,　６人世帯の一般世帯数,　７人以上世帯の一般世帯数,　親族のみの一般世帯数,　核家族の一般世帯数,　核家族以外の一般世帯数,　６歳未満世帯員のいる一般世帯数,　６５歳以上世帯員のいる一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯の一般世帯数,　高齢単身の一般世帯数,　高齢夫婦のみの一般世帯数
412940303,2,412940401,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412940401,1,,412940303;412940403,11,4,7,1,0,1,21,9,12,10,6,4,20,8,12,11,3,8,6,2,4,0,0,0,8,8,6,6,0,1,0,0,0,7,7,0,1,8,0,3,3
412940403,2,412940401,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412940501,0,,,9,5,4,0,0,0,9,5,4,6,3,3,9,5,4,3,2,1,0,0,0,1,0,1,5,5,2,2,1,0,0,0,0,3,3,0,0,2,1,1,1
412940513,0,,,34,12,22,10,4,6,24,8,16,21,8,13,21,7,14,3,0,3,2,0,2,1,0,1,14,14,4,3,5,1,1,0,0,10,9,1,2,3,0,2,0
412940603,0,,,41,19,22,12,4,8,29,15,14,25,13,12,26,12,14,4,2,2,3,1,2,0,0,0,14,14,2,4,3,3,2,0,0,12,11,1,3,3,1,1,1
412940604,0,,,15,9,6,1,0,1,14,9,5,10,6,4,13,8,5,4,3,1,1,1,0,0,0,0,8,8,4,2,1,1,0,0,0,4,4,0,0,4,0,2,0
412940611,0,,,529,249,280,143,77,66,386,172,214,331,161,170,357,159,198,55,11,44,36,5,31,2,0,2,184,182,40,59,28,34,13,8,0,142,139,3,34,21,4,8,3
412940612,0,,,286,151,135,28,9,19,258,142,116,167,98,69,254,140,114,91,44,47,33,13,20,0,0,0,47,46,13,17,5,7,3,1,0,33,33,0,10,10,2,3,5
412940613,0,,,300,155,145,75,41,34,225,114,111,187,95,92,215,111,104,38,19,19,19,7,12,0,0,0,128,128,51,31,20,12,7,6,1,77,73,4,18,28,8,9,9
412940614,0,,,168,75,93,28,13,15,140,62,78,112,50,62,134,59,75,28,12,16,13,5,8,0,0,0,89,89,49,20,10,6,3,0,1,40,34,6,6,19,8,7,4
412940702,0,,,255,133,122,65,36,29,190,97,93,157,80,77,179,93,86,33,17,16,13,6,7,1,0,1,99,99,26,30,21,8,10,4,0,73,70,3,13,21,4,4,9
412940704,0,,,26,13,13,5,2,3,21,11,10,15,9,6,19,9,10,6,2,4,4,1,3,1,0,1,12,12,5,3,1,3,0,0,0,7,6,1,1,5,0,3,1
412940711,0,,,1049,523,526,158,95,63,891,428,463,575,299,276,846,407,439,316,129,187,198,63,135,4,1,3,503,502,218,154,69,26,19,9,7,278,257,21,50,228,20,102,58
412940712,0,,,138,69,69,17,13,4,121,56,65,90,43,47,116,54,62,31,13,18,15,6,9,0,0,0,72,72,32,26,7,3,3,1,0,40,37,3,5,21,5,8,5
412940713,0,,,823,410,413,116,61,55,707,349,358,472,254,218,671,331,340,235,95,140,136,50,86,2,0,2,402,402,176,123,45,35,17,3,3,225,214,11,26,178,12,80,47
412940714,0,,,490,239,251,69,32,37,420,207,213,312,161,151,400,197,203,108,46,62,57,20,37,3,0,3,249,249,120,67,31,22,4,2,3,129,113,16,21,77,17,24,26
412940802,0,,,272,128,144,43,21,22,229,107,122,172,83,89,212,98,114,57,24,33,22,6,16,2,0,2,118,118,35,39,27,10,4,3,0,82,82,0,9,42,1,17,12
412940803,0,,,18,7,11,6,3,3,12,4,8,12,4,8,9,4,5,0,0,0,0,0,0,0,0,0,6,6,1,2,0,2,1,0,0,4,4,0,1,0,1,0,0
412940804,0,,,14,7,7,4,3,1,10,4,6,10,4,6,10,4,6,0,0,0,0,0,0,0,0,0,6,6,2,1,2,1,0,0,0,4,4,0,0,0,1,0,0
412940811,0,,,331,162,169,79,41,38,252,121,131,216,108,108,217,106,111,36,13,23,14,3,11,0,0,0,123,122,37,34,19,12,13,5,2,85,75,10,25,30,5,13,6
412940812,0,,,737,356,381,139,69,70,598,287,311,406,205,201,574,276,298,192,82,110,101,41,60,1,0,1,289,287,98,89,43,34,19,4,0,184,180,4,46,86,13,26,36
412940813,0,,,89,25,64,4,0,4,85,25,60,7,5,2,85,25,60,78,20,58,76,18,58,0,0,0,5,4,2,0,0,2,0,0,0,2,2,0,1,0,0,0,0
412940814,0,,,211,99,112,24,10,14,186,89,97,130,65,65,183,89,94,56,24,32,37,12,25,1,0,1,102,101,43,36,14,5,2,1,0,57,52,5,8,31,4,11,6
412940911,0,,,27,13,14,3,2,1,24,11,13,13,7,6,23,10,13,11,4,7,7,2,5,0,0,0,15,15,9,2,3,0,1,0,0,6,6,0,1,9,0,6,1
412940912,0,,,463,229,234,42,22,20,421,207,214,243,129,114,406,199,207,178,78,100,112,38,74,0,0,0,229,229,85,87,40,6,8,2,1,141,129,12,13,135,2,51,35
412940913,0,,,531,253,278,177,86,91,354,167,187,298,137,161,325,151,174,56,30,26,16,9,7,9,1,8,186,181,41,54,29,21,27,7,2,138,132,6,45,36,1,10,15
412940914,0,,,115,57,58,45,24,21,70,33,37,69,32,37,64,29,35,1,1,0,1,1,0,2,1,1,39,39,7,10,5,12,5,0,0,32,32,0,12,1,0,1,0
412940921,0,,,242,114,128,44,26,18,198,88,110,149,69,80,183,84,99,49,19,30,24,9,15,5,2,3,110,110,42,35,13,10,9,1,0,67,65,2,13,36,3,16,12
412940923,1,,412940924,26,17,9,5,5,0,22,12,10,11,6,5,21,11,10,11,6,5,1,1,0,0,0,0,10,10,2,5,2,1,1,0,0,9,9,0,2,7,0,2,4
412940924,2,412940923,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412950011,2,412950112,,40,26,14,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412950012,2,412950112,,9,0,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412950014,2,412950112,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412950023,2,412950112,,4,1,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412950024,2,412950112,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412950112,1,,412950114;412950011;412950012;412950014;412950023;412950024,53,27,26,8,4,4,107,54,53,60,35,25,106,53,53,47,19,28,31,8,23,1,0,1,27,27,21,9,3,2,2,0,0,16,14,2,0,25,0,14,4
412950114,2,412950112,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412950121,1,,412950122;412950124,201,93,108,36,19,17,171,77,94,106,55,51,168,75,93,65,22,43,50,14,36,1,0,1,95,95,40,32,14,7,4,1,1,58,53,5,10,51,1,25,10
412950122,2,412950121,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412950123,0,,,201,104,97,29,17,12,172,87,85,105,63,42,164,81,83,67,24,43,40,10,30,1,0,1,98,98,42,27,16,9,3,1,0,54,48,6,6,60,0,30,5
412950124,2,412950121,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412950214,0,,,68,34,34,7,4,3,61,30,31,27,16,11,61,30,31,34,14,20,25,10,15,0,0,0,34,34,12,14,6,1,0,1,0,22,15,7,1,23,0,7,7
412950221,0,,,12,6,6,1,1,0,11,5,6,7,4,3,11,5,6,4,1,3,4,1,3,0,0,0,6,6,2,2,2,0,0,0,0,4,3,1,1,3,0,1,1
412950223,0,,,33,17,16,3,1,2,30,16,14,16,10,6,30,16,14,14,6,8,9,3,6,0,0,0,14,14,2,7,4,0,1,0,0,12,11,1,1,10,0,0,1
412950301,0,,,17,8,9,0,0,0,17,8,9,5,3,2,16,8,8,12,5,7,7,3,4,0,0,0,7,7,2,2,1,2,0,0,0,5,3,2,0,7,0,2,1
412950303,0,,,15,7,8,0,0,0,15,7,8,6,1,5,15,7,8,9,6,3,5,3,2,0,0,0,8,8,1,7,0,0,0,0,0,7,7,0,0,7,0,1,3
412950311,0,,,37,18,19,11,8,3,26,10,16,15,9,6,24,9,15,11,1,10,6,0,6,0,0,0,17,17,12,1,0,1,0,2,1,5,3,2,3,11,0,8,0
412950312,0,,,296,151,145,34,18,16,262,133,129,146,79,67,252,125,127,116,54,62,77,30,47,0,0,0,141,141,47,59,19,11,3,0,2,93,87,6,9,85,0,31,31
412950313,1,,412950404,21,11,10,3,3,0,19,8,11,16,6,10,16,7,9,3,2,1,3,2,1,1,0,1,11,11,5,5,1,1,0,0,0,7,7,0,0,2,0,0,2
412950404,2,412950313,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412950501,2,412950503,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
412950503,1,,412950501,139,64,75,13,2,11,128,63,65,62,35,27,125,62,63,66,28,38,40,14,26,0,0,0,65,65,23,24,12,3,2,2,0,43,39,4,2,44,1,13,15
