KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
463100002,2,463100213,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100004,2,463100213,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100011,2,463100213,,4,0,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100021,2,463100032,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100022,2,463100032,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100031,2,463100034,,5,2,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100032,1,,463100021;463100022,11,6,5,3,2,1,15,8,7,10,6,4,13,7,6,5,2,3,4,2,2,0,0,0,4,4,0,3,1,1,1,0,0,6,5,1,1,3,0,0,1
463100034,1,,463100031;463100122,6,4,2,0,0,0,13,7,6,3,2,1,13,7,6,10,5,5,5,3,2,0,0,0,2,2,1,3,2,0,0,0,0,5,5,0,0,6,0,1,2
463100101,2,463100213,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100122,2,463100034,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100142,0,,,11,6,5,0,0,0,11,6,5,8,5,3,9,5,4,3,1,2,2,1,1,0,0,0,4,4,1,2,0,0,0,1,0,3,3,0,0,2,0,0,1
463100144,0,,,17,7,10,0,0,0,17,7,10,6,3,3,17,7,10,11,4,7,9,3,6,0,0,0,10,10,4,5,1,0,0,0,0,6,6,0,0,7,0,1,3
463100202,2,463100211,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100204,2,463100211,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100211,1,,463100202;463100204,1,0,1,0,0,0,8,4,4,3,1,2,8,4,4,5,3,2,4,2,2,0,0,0,1,1,2,3,0,0,0,0,0,3,3,0,0,3,0,0,3
463100213,1,,463100002;463100004;463100011;463100101,56,28,28,5,3,2,62,29,33,27,13,14,61,28,33,35,16,19,19,13,6,0,0,0,27,27,10,16,3,4,0,0,0,23,21,2,0,22,0,6,12
463100232,0,,,22,9,13,7,3,4,15,6,9,11,5,6,15,6,9,4,1,3,3,0,3,0,0,0,9,9,3,4,0,0,1,1,0,6,6,0,1,4,0,3,1
463100233,2,463100234,,7,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100234,1,,463100233,56,28,28,2,0,2,61,31,30,40,23,17,59,29,30,21,8,13,14,5,9,0,0,0,28,28,12,13,3,4,0,0,0,20,18,2,1,16,0,6,3
463100241,2,463100243,,4,3,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100242,0,,,87,42,45,2,0,2,85,42,43,40,23,17,82,40,42,45,19,26,25,10,15,1,0,1,48,48,21,19,5,2,1,0,0,27,24,3,0,33,0,16,11
463100243,1,,463100241,106,60,46,0,0,0,110,63,47,65,36,29,110,63,47,45,27,18,21,11,10,1,0,1,31,27,7,12,9,1,0,0,0,22,18,4,0,22,0,5,4
463100251,0,,,14,7,7,2,1,1,12,6,6,8,5,3,11,5,6,4,1,3,1,0,1,0,0,0,7,7,3,3,0,0,1,0,0,4,3,1,0,3,0,2,1
463100302,0,,,11,7,4,2,2,0,9,5,4,4,2,2,9,5,4,5,3,2,2,2,0,0,0,0,6,6,3,2,0,1,0,0,0,3,3,0,0,4,0,3,1
463100311,2,463100313,,11,8,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,9,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100313,1,,463100311,5,3,2,0,0,0,16,11,5,9,6,3,16,11,5,7,5,2,2,2,0,0,0,0,2,2,7,3,1,0,0,0,0,4,3,1,0,6,0,4,2
463100331,0,,,21,12,9,0,0,0,21,12,9,8,5,3,21,12,9,13,7,6,6,4,2,0,0,0,10,10,2,6,1,1,0,0,0,8,7,1,0,9,0,2,4
463100332,1,,463100334,49,22,27,0,0,0,50,23,27,17,8,9,50,23,27,33,15,18,16,7,9,0,0,0,22,22,6,9,6,2,0,0,0,17,16,1,0,21,0,4,7
463100334,2,463100332,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100341,2,463100342,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100342,1,,463100341,60,27,33,8,3,5,54,25,29,32,16,16,52,25,27,22,9,13,17,6,11,0,0,0,29,29,10,12,5,2,1,0,0,20,19,1,1,15,1,7,6
463100344,0,,,151,70,81,33,16,17,118,54,64,64,31,33,111,50,61,54,23,31,32,10,22,1,0,1,63,63,17,30,2,7,4,1,2,45,45,0,5,36,0,12,19
463100351,0,,,127,57,70,7,5,2,120,52,68,53,29,24,116,51,65,67,23,44,48,15,33,1,1,0,47,46,15,17,9,3,1,1,0,31,29,2,3,29,1,9,7
463100352,0,,,42,21,21,3,3,0,39,18,21,17,9,8,35,16,19,22,9,13,10,4,6,0,0,0,17,17,4,7,3,1,1,1,0,13,8,5,1,16,0,4,2
463100353,0,,,14,6,8,2,2,0,12,4,8,7,1,6,12,4,8,5,3,2,4,2,2,0,0,0,7,7,1,5,1,0,0,0,0,6,6,0,1,4,0,1,1
463100423,2,463100514,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100432,0,,,39,18,21,5,2,3,34,16,18,25,14,11,33,15,18,9,2,7,7,2,5,0,0,0,17,17,5,4,7,0,1,0,0,11,9,2,0,7,0,3,1
463100433,2,463100434,,7,5,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100434,1,,463100433,82,37,45,15,9,6,74,33,41,38,17,21,72,31,41,36,16,20,17,4,13,0,0,0,41,41,20,13,7,3,2,0,0,25,25,0,2,28,0,15,7
463100441,0,,,26,12,14,2,1,1,24,11,13,11,4,7,22,11,11,13,7,6,6,4,2,0,0,0,11,11,1,8,0,1,1,0,0,10,10,0,1,7,0,1,6
463100442,0,,,10,5,5,0,0,0,10,5,5,0,0,0,10,5,5,10,5,5,3,1,2,0,0,0,5,5,1,3,1,0,0,0,0,4,3,1,0,5,0,1,3
463100454,2,463100552,,7,4,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100501,2,463100503,,5,1,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100502,0,,,57,25,32,7,1,6,50,24,26,33,17,16,47,22,25,17,7,10,11,5,6,0,0,0,26,26,6,11,7,2,0,0,0,20,18,2,2,13,1,3,3
463100503,1,,463100501,201,108,93,47,29,18,159,80,79,127,67,60,147,69,78,32,13,19,10,5,5,0,0,0,77,77,14,29,13,15,7,0,0,63,60,3,17,22,1,6,8
463100504,0,,,44,19,25,10,3,7,34,16,18,24,11,13,34,16,18,10,5,5,6,2,4,1,1,0,20,20,7,8,2,1,1,1,0,13,12,1,4,9,1,5,3
463100511,0,,,22,10,12,0,0,0,22,10,12,11,4,7,22,10,12,11,6,5,5,2,3,0,0,0,10,10,2,5,2,1,0,0,0,8,8,0,0,7,0,0,1
463100512,0,,,12,5,7,0,0,0,12,5,7,4,1,3,12,5,7,8,4,4,4,2,2,0,0,0,6,6,2,3,0,1,0,0,0,4,4,0,0,4,0,0,3
463100514,1,,463100423;463100523,47,21,26,4,3,1,48,21,27,28,12,16,45,20,25,20,9,11,9,4,5,0,0,0,25,25,13,7,4,2,1,0,0,14,13,1,0,15,0,8,2
463100523,2,463100514,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
463100531,1,,463100532,16,7,9,0,0,0,23,9,14,4,1,3,23,9,14,19,8,11,10,4,6,0,0,0,11,11,7,8,0,0,0,0,0,8,7,1,0,14,0,7,4
